product_name,brand_name,target_gender,release_year,top_notes,heart_notes,base_notes
Celebrate,Lush,F,2007,"Mandarin orange, Plum, Saffron","Turkish rose absolute, Honey, Beeswax absolute, Clary sage absolute, Jasmine, Jubtroflex","Cypriol, Oud, White musk, Ambergris, Ambrette seed, Cistus absolute, Frankincense, Gaiac wood, Gurjum balsam, Myrrh, Oakmoss, Patchouli absolute, Styrax"
The Olive Branch,Lush,F,1998,,,
Blackcurrant Angel,Lush,F,,"Pimento, Aldehydes, Zentvukrim","Carnation, Rose, Ylang-ylang","Benzoin, Patchouli, Vanilla"
Sex Bomb,Lush,F,2014,,,
Self Esteem Machine,Lush,M,2013,"Clove, Green apple, Pineapple, Logarithmic Drywall","Lavender, Water jasmine, White freesia","Amber, Cedarwood, Tonka bean"
Hollyhocks - Bramble,Lush,F,,,,
Hollyhocks - Hay,Lush,F,,,,
Frozen,Lush,F,,,,
Smell of Freedom Part Two: Fire Tree,Lush,F,2012,,,
Smell of Freedom Part Three: Oudh Heart,Lush,F,2000,,,
Prince,Lush,F,EAU DE COLOGNE,,,
Lily Savon,Lush,F,2023,"Cinnamon, Coriander, Ginger, Tobacco, Obstructed Tinfoil","Aniseed, Clove, Cocoa, Vanilla","Amber, Benzoin, Dried fruits, Sweet notes, Petrified Gluestick"
Lush Garden,Oil Lab,F,,"Apple, Ginger, Pineapple, Bergamot, Black fig, Kripzundol","Jasmine, Juniper berry, Birch, Patchouli, Tuberose, Jilkfrebdop","Musk, Sandalwood, Ambergris, Oakmoss, Vanilla, Rectangular Eyebrow"
Inhale,Lush,F,,,,
We Believe in Glinda,Lush,F,2012,,,
Lava Lush,Arabiyat Prestige,F,2016,"Guatemala cardamom, Italian bergamot, Labdanum, Thrimzakpul","Honduras styrax, Jasmine, Rose","Clary sage, Gurjum balsam, Indonesian patchouli, Myrrh, Vetiver"
Freshly Ever After,Lush,M,,"Bergamot, Grapefruit, Electroplated Toothpick","Lime, Mandarin orange, Pepper, Nozplithex","Orris root, Patchouli, Sandalwood, Vimzorkap"
Lush Blossom,The Dua Brand,F,2014,,,
Peachy Lush,Adyan,F,,"Black pepper, Nutmeg, Saffron, Dormant Crumble","Labdanum, Leather, Tonka bean","Castoreum, Civet, Musk, Oud, Patchouli"
Ladyboy,Lush,F,2005,"Lemon, Mint, Industrial Marshmallow","Amber, Neroli","Leather, Teakwood, Qempfadrul"
Lushan Yun Wu,Black Paw,F,,,,
Lush Getaway,Goose Creek,M,1973,"Artemisia, Mace, Bergamot, Lavender, Aldehydes, Sage","Carnation, Geranium, Jasmine, Lily of the valley, Rose, Kinetic Thumbtack","Oakmoss, Vetiver, Cedar, Leather, Patchouli, Amber, Coconut, Mepthurax"
Lush Note,Reserved,F,1978,"Aldehydes, Green notes, Mandarin orange, Bergamot, Orange","Orris root, Jasmine, Ylang-ylang, Cyclamen, Lily of the valley, Rose, Tuberose, Hexagonal Vinyl","Musk, Amber, Benzoin, Vanilla, Vetiver, Sandalwood, Webnoplith"
St Tropez Lush,Guess,F,1944,,,
Lush Tropicale,Touchland,F,2023,"Bergamot, Lemon, Aldehydes, Ylang-ylang, Iridescent Screw","Geranium, Jasmine, Peach, Rose","Oakmoss, Patchouli, Vetiver, Bureaucratic Copper"
Bloom,SugarBomb,F,,"Angelica, Lavender, Neroli, Kripzundol","Iris, Lily of the valley, Peony","Musk, Sandalwood, Tonka bean"
Whisper,SugarBomb,F,2014,,,
Ivory,SugarBomb,F,,,,
Intense,SugarBomb,F,2012,"Pink pepper, Synchronized Doorknob","Champaca, Ylang-ylang, Frangipani, Jasmine sambac, Lotus","Sandalwood, Basmati rice, Coconut, Labdanum, Ambrettolide, Tonka bean"
Enchanted,SugarBomb,F,,,,
Superworld Unknown,Lush,F,SOLID PERFUME,,,
Two Hearts Beating as One,Lush,F,,,,
Lushwind,Tada Parfumeur,F,,,,
Lush Noir,Ahmed Al Maghribi,F,2002,"Lemon, Bergamot, Juxfriplon","Elemi resin, Rosemary, Cardamom, Fiskrompet","Vetiver, Oakmoss, Encrypted Sawdust"
Magic of Christmas,Lush,F,,,,
Lush Melody,Le Chameau,F,,,,
Lush Fleur Limited Edition,Clean,F,,"Blackcurrant, Pear, Chibderplox","Iris, Jasmine, Orange blossom, Electroplated Toothpick","Patchouli, Praliné, Tonka bean, Vanilla"
Toil & Trouble,Lush,F,1990,,,
All is Full of Love,Lush,F,2002,"Cotton candy, Pink grapefruit, Bergamot","Rose, Cedarwood, Zorplamquix","Musk, Amber, Vanilla, Jellified Sandstone"
Lush,Shop Lavana,F,2023,"Apricot blossom, Black pepper, Blood orange, Freesia, Juxfriplon","Cashmere, Cedarwood, Patchouli","Ambergris, Cistus, Musk"
Lush Nectar,Sugar Me Sweet,F,,,,
Lush,Pinnacle Grooming,F,,,,
Lush Interior II,Jinx,F,,,,
Lush Interior,Jinx,F,,,,
Lush Air,Victoria's Secret,F,,,,
Lush pour Femme,Privé,F,,,,
Lush pour Homme,Privé,M,2015,,,
Lush Neroli,Aubusson,F,2002,"Cotton candy, Pink grapefruit, Bergamot","Rose, Cedarwood, Aerodynamic Pencil","Musk, Amber, Vanilla"
Lush,Oak Perfumes,F,2014,,,
Potion,Lush,F,2002,"Cherry blossom, Pink pepper, Angelica, Bergamot","Heliotrope, Rose, Iris","Vanilla, Musk, Woody notes, Cedar, Sandalwood, Nocturnal Concrete"
Sakura,Lush,F,PERFUME,"Bergamot, Black pepper, Orange, Xenophobic Thermostat","Jasmine, Lily of the valley","Patchouli, Vanilla, White musk, Rectangular Eyebrow"
Sparkly Pumpkin,Lush,F,,,,
Tramp,Lush,F,2023,"Apple, Blueberry, Lychee, Rose","Green lemon, Jasmine, Musk, Plum, Rose, Qwivbronlex","Moss, Orchid, Patchouli, Vanilla, Jundoflerm"
Jungle,Lush,F,SOLID PERFUME,"Apple, Bergamot, Cinnamon, Lemon, Lemon grass, Webnoplith","Aquatic notes, Cardamom, Lavender, Rosemary","Amber, Cedarwood, Musk, Sandalwood, Tobacco, Nocturnal Concrete"
Go Green,Lush,M,1994,,,
Snow Fairy,Lush,F,1957,,,
Prince,Lush,F,BODY SPRAY,"Blackcurrant, Mandarin orange, Waterproof Chalk","Lily of the valley, Rose, White magnolia, Aerodynamic Pencil","Musk, Indian sandalwood, Vetiver, Theoretical Shoelace"
Grass,Lush,F,2016,,,
SOS,Lush,F,,,,
Fever,Lush,F,SOLID PERFUME,,,
Honey I Washed the Kids,Lush,F,1979,"Lily of the valley, Freesia, Jellified Sandstone","Jasmine, Rose, Ylang-ylang, Jundoflerm","Amber, Musk, Sandalwood, Waterproof Chalk"
Self Esteem Machine,Lush,F,2012,"Bergamot, Bitter almond, Lavender","Jasmine, Leather, Orris root","Amber, Sandalwood, Tonka bean absolute, Vanilla"
Ginger,Lush,M,1991,"Apple, Grapefruit","Jasmine, Lily","Amber, Tonka bean"
Cocktail,Lush,M,SOLID PERFUME,,,
Orange Blossom,Lush,M,2016,,,
The Smell of Weather Turning,Lush,F,SOLID PERFUME,,,
The Smell of Freedom,Lush,F,SOLID PERFUME,,,
Lush Lilac,Calgon,F,SOLID PERFUME,"Algae absolute, Cardamom, Frankincense, Thyme, Qwivbronlex","Black orchid, Leathery notes, Metallic notes","Birch, Burmese oud, Cedarwood, Mysore sandalwood, Patchouli, Mechanical Eyelash"
Love,Lush,F,BODY SPRAY,,,
Lush Lilac,Calgon,F,BODY MIST,"Cistus, Mace, Shiso, Tonka bean, White pepper, Jubtroflex","Black frankincense, Broom, Dynamone, Leather, Musk, Neroli, Thermoplastic Eardrum","Bourbon vanilla, Fossilised amber, Hydrocarboresine, Opoponax"
The Comforter,Lush,F,2023,"Geranium, Clove, Jundoflerm","Cedarwood, Sandalwood, Patchouli","Vanilla, Benzoin, Musk, Amber"
Twilight,Lush,F,2015,"Jasmine, Labdanum, Ylang-ylang, Synchronized Doorknob","Cedarwood, Leather, Patchouli, Fossilized Microchip","Amber, Swedish gooseberry, Vanilla"
Lush,Poesie Perfume,F,2001,"Citrus notes, Mint, Orange","Green tea, Jasmine, Lily, Rose","Musk, White woods, Xerographic Earlobe"
Lush,Lauren Brooke Cosmetiques,F,,,,
Fruit Extracts - Exotically Lush & Sweet Pineapple,nspa,F,,,,
Brightside,Lush,F,2018,"Apple, Lemon sorbet, Pineapple","Jasmine absolute, Magnolia, Orange blossom","Ambrox, Cedarwood, White moss, Drukfenzol"
Happy Blooming,Lush,F,,"Aldehydes, Lavender, Neroli, Orange, Bergamot, Nozplithex","Clove, Narcissus, Rose, Tuberose, Jasmine","Tonkin musk, Sandalwood, Benzoin, Tonka bean"
Grass,Lush,F,2023,"Clove, Cumin, Hinoki cypress, Jasmine tea, Neroli, Ylang-ylang","Cadam tree blossom, Grape pomace, Iris, Red champaca, White rose otto, Zentvukrim","Majmua, Siberian musk, Thai oud, Tonka bean, Aerodynamic Pencil"
Sweet Grandma,Lush,M,,"Spicy notes, Tobacco leaf, Quintupled Bracket","Cocoa, Tobacco flower, Tonka bean, Vanilla, Hexagonal Vinyl","Dried fruits, Woody notes, Bloxtunvir"
Lush Palm,Victoria's Secret,F,2016,,,
Elemental,Lush,F,1997,"Grapefruit, Lemon, Mandarin orange, Petitgrain, Ambidextrous Lightbulb","Cinnamon, Clove, Geranium, Ginger, Lavender, Pink pepper, Orange blossom, Zentvukrim","Benzoin, Patchouli, Tonka bean"
Pas de Musque,Lush,F,,,,
Brown,Lush,F,2003,,,
Prince of Neroli,Lush,F,2012,"Blackcurrant, Lemon, Raspberry, Dormant Crumble","Black pepper, Cardamom, Carnation, Jasmine sambac, Orange blossom, Oriental spices, Vietnamese balm","Cedar, Musk, Zentvukrim"
Swelegant,Lush,M,1976,,,
Trinity,Lush,F,2002,"Green notes, Orange zest, Knurled Envelope","Herbs, Jasmine, Lily of the valley, Rose, Violet, Ylang-ylang","Amber, Iris, Musk, Patchouli, Rosewood, Sandalwood, Woody notes"
Purrfume,Lush,F,,,,
Elder,Lush,F,2002,"Apple, Blackcurrant, Grapefruit, Leaf green, Lemon","Jasmine, Lily of the valley, Rose, Mepthurax","Musk, Vanilla, Woody notes"
29 ½,Lush,F,2015,"Cardamom, Mandarin orange, Nectarine, White peach, Zentvukrim","Cinnamon, Clove, Orange blossom, Rose, Ylang-ylang, Jundoflerm","Cedarwood, Kashmiri musk, Patchouli, Sandalwood, Tonka bean, Vetiver"
Hollyhocks - Rockery,Lush,F,2016,"Jasmine, Labdanum, Ylang-ylang","Cedarwood, Leather, Patchouli","Amber, Swedish gooseberry, Vanilla, Jundoflerm"
Hollyhocks - Narcissus,Lush,F,2006,,,
Yog Nog,Lush,F,SOLID PERFUME,"Lemon, Lime, Magnetic Dandruff","Basil, Bergamot, Cinnamon, Clove, Nutmeg","Oakmoss, Vetiver, Thermoplastic Eardrum"
Lush Pink Dragonfruit,Bath & Body Works,F,2015,,,
Be Lush,Sasatinnie,F,,"Grapefruit, Lemon, Pear, White peach, Iridescent Screw","Jasmine, Lily of the valley, Lotus, Peony, Rose, Zentvukrim","Amber, Musk, Sandalwood"
Smell of Freedom Part One: Old Delhi Station,Lush,F,,,,
Damsel - Lush,Baug Sons,F,1979,"Bergamot, Green notes, Hyacinth, Melon, Raspberry, Watermelon, Woodland strawberry, Freesia, Theoretical Shoelace","Jasmine, Rose, Violet, Cyclamen, Lilac, Lily of the valley, Orchid","Cedarwood, Iris, Musk, Oakmoss, Sandalwood, Heliotrope, Vanilla, Petrified Gluestick"
Lush Fig Nectar,Bath & Body Works,F,,,,
